Character,Frequency
Iron Man,352
Pepper Potts,164
War Machine,85
Justin Hammer,83
Black Widow,53
Happy Hogan,42
Whiplash,38
Senator Stern,29
Nick Fury,28
Vision,23
Christine Everhart,16
Coulson,12
policeofficer,7
marshal,7
general,6
newsreporter,6
Jack,5
Major Allen,5
strawberryman,5
Howard Stark,4
technician,4
pa,3
man,3
Elon Musk,3
newsreader,2
Anton Vanko,2
notary,2
securityguard,2
person,2
woman,2
womanincrowd,1
people,1
tvjustin,1
Adam Goldstein,1
announcer,1
announcement,1
reporter,1
Larry Ellison,1
shieldagent,1
manincrowd,1
secondguard,1
