Character,Frequency
Spider-Man,571
Ned,149
Vulture,113
Iron Man,90
Liz,78
Karen,74
Happy Hogan,64
May Parker,39
Phineas Mason,38
Shocker 2,30
Flash Thompson,26
Aaron Davis,23
Michelle Jones,19
Shocker 1,19
Mr. Harrington,16
Doris Toomes,13
Captain America,11
Charles,11
Mr. Delmar,10
Abe,10
Betty Brant,9
Pepper Potts,7
newsanchor,6
police,6
robber,6
Ms. Warren,6
Cindy Moon,6
Jim Morita,5
man,5
moderator,5
Jason,5
Anne Marie Hoag,5
Randy,4
Coach Wilson,4
girl,4
fbiagent,4
Sally Avril,3
tiny,3
tourguide,3
streetvendor,3
parkranger,3
student,2
worker,2
resident,2
dodcagent,2
carjacker,2
thaiwaiter,2
historyteacher,2
marjorie,2
Gary,2
crowd,2
security,2
tech,2
deliclerk,2
decathlonteam,2
students,2
Thor,1
gargan,1
oldman,1
daysleeper,1
friend,1
tourist,1
spanishteacher,1
jasonbetty,1
Mr. Cobbwell,1
dodccentral,1
annie,1
voicemail,1
malevoice,1
operator,1
Friday,1
tentkids,1
families,1
dodcdriver,1
Mr. Hapgood,1
guard,1
cheerleader,1
