Character,Frequency
Iron Man,135
Captain America,109
Nick Fury,97
Black Widow,85
Loki,58
Hulk,58
Coulson,42
Thor,36
Hawkeye,31
Maria Hill,29
Pepper Potts,22
Selvig,16
councilman,12
Vision,12
securityguard,11
intercomvoice,9
The Other,8
Georgi Luchkov,6
councilwoman,6
policesergeant,4
younggirl,3
reporter,3
shieldworker,2
jetpilot,2
waitress,2
malereporter,2
shieldagent,2
youngshieldpilot,2
youngcop,2
calcuttawoman,1
novar,1
nasascientist,1
weasellythug,1
maintenanceguy,1
malecitizen,1
femalecitizen,1
maleagent,1
facelesspilot,1
offscreenworker,1
pilot,1
carrierbridge,1
husband,1
germanoldman,1
thesenator,1
Peggy Carter,1
tech,1
femalecarrier,1
wife,1
scientist,1
