Character,Frequency
Thor,174
Jane Foster,126
Loki,93
Selvig,69
Volstagg,61
Odin,52
Fandral,50
Sif,45
Darcy Lewis,38
Coulson,28
Frigga,23
Laufey,19
Heimdall,18
Hogun,10
admissionsnurse,8
Sitwell,5
Isabela Alvarez,5
techie,3
Agent Garrett,3
Agent Cale,3
einherjarguard,2
drunktownie,2
nurse,2
towniepete,2
shieldagent,2
Destroyer,1
volstagghogun,1
orderly,1
aman,1
when,1
Pete,1
Hawkeye,1
cutto,1
jotun,1
Agent Jackson,1
Mjolnir,1
librarian,1
eagertownie,1
understandingsomething,1
jotunsentry,1
Agent Delancey,1
townie,1
