Title,NoOfLines,NoOfSpeakers,Tobin,Shannon,CI_m,CI_p,Complete
Ant-Man,864,32,10.38361531888216,10.571576407329092,9.775079933941718,11.43297328423293,1
Avengers:_Age_of_Ultron,975,36,15.67593070228477,15.959833787517342,14.978841640254153,17.005072931718253,1
Avengers:_Infinity_War,990,46,24.89772957079862,25.470066251468612,24.026626360307887,27.00022321593581,1
Captain_America:_Civil_War,982,41,17.498775163469144,17.858819692155414,16.666971385698094,19.135896583502735,1
Captain_America:_The_First_Avenger,619,64,17.03042212104319,17.919505479613875,15.862042450327825,20.243841714550157,1
Captain_America:_The_Winter_Soldier,822,49,14.913242204291022,15.355084194756962,13.976039280394188,16.870202344009506,1
Captain_Marvel_(2019),683,39,11.162389454111008,11.477269232360907,10.381125482605123,12.68915487562737,0.5
Guardians_of_the_Galaxy,575,35,12.485494052359092,12.860141373398099,11.63466509826461,14.214696748637273,0.5
Spider-Man:_Homecoming,1557,77,14.803729971382566,15.169473451597161,13.976394162927635,16.464398622148575,1
Iron_Man_2,1006,41,10.498997784705935,10.709814020091533,9.843196474855896,11.652730557390239,1
Thor:_The_Dark_World,732,38,14.078648891125615,14.438996126638095,13.29684848647334,15.67924981300327,1
Thor,860,42,14.218512269328098,14.56151378033785,13.550670782074524,15.647762903033751,1
Thor:_Ragnarok,967,33,10.170517931367842,10.340199415742154,9.529720249195408,11.219607833329798,1
Guardians_of_the_Galaxy_Vol._2,950,34,11.630553646843994,11.834322448412001,11.07424052512045,12.646572692303424,1
The_Avengers,826,49,16.46315301587212,16.94851845508863,15.705485775787464,18.289932697613562,1
Black_Panther,720,38,16.487862227393748,16.916998284152285,15.655061978448584,18.280657805123067,1
Iron_Man,124,11,4.760945206669758,4.956841789791535,4.039753826576811,6.0821232143850725,0
Doctor_Strange,158,19,6.630616432335575,7.0192740528238415,5.720630680960425,8.612723137787698,0
The_Incredible_Hulk,63,10,7.258321985063334,7.79573852943697,6.589749518450974,9.222435397458609,0
Iron_Man_3,571,27,8.466169004610515,8.661129834589122,7.812659523451697,9.60174570342309,0.5
Ant-Man_and_the_Wasp,177,10,6.306428934624038,6.46881738685578,5.693769397401424,7.349366555587153,0
