Character,Aliases
Abomination,"Abomination, The Abomination, Emil Blonsky, Blonsky"
Abu Bakaar,"Abu Bakaar"
Agent 13,"Agent 13, Kate / Agent 13, Sharon Carter"
Agent Garrett,"Agent Garrett, Jonathan 'John' Garrett"
Agent Scott Kelly,"Agent Scott Kelly"
Aldrich Killian,"Aldrich Killian, Killian"
Ant-Man,"Ant-Man, Scott Lang, Scott Lang / Ant-Man"
Alexander Pierce,"Alexander Pierce"
Bambi Arbogast,"Bambi Arbogast"
Black Panther,"Black Panther, T'Challa, T'Challa / Black Panther, Young T'Challa"
Black Widow,"Black Widow, Agent Romanoff, Natasha Romanoff, Natasha Romanoff / Black Widow, Natalie Rushman / Natasha Romanoff, Natalie Rushman"
Betty Brant,"Betty Brant, Betty"
Betty Ross,"Betty Ross"
Captain America,"Captain America, Steve Rogers, Steve Rogers / Captain America, Captain America / Steve Rogers"
Captain Marvel,"Captain Marvel, Vers, Carol Danvers, Carol Danvers / Captain Marvel, Carol Danvers / Vers / Captain Marvel"
Carina,"Carina"
Cassie Lang,"Cassie Lang, Cassie"
Christine Everhart,"Christine Everhart"
Cindy Moon,"Cindy Moon, Cindy"
Colonel Chester Phillips,"Colonel Chester Phillips"
Cooper Barton,"Cooper Barton"
Corvus Glaive,"Corvus Glaive"
Cosmo the Space Dog,"Cosmo the Space Dog"
Coulson,"Coulson, Phil Coulson, Agent Coulson, Agent Phil Coulson"
Crossbones,"Crossbones, Brock Rumlow, Brock Rumlow / Crossbones"
Doctor Strange,"Doctor Strange, Stephen Strange, Dr. Stephen Strange, Dr Stephen Strange, Dr Strange, Dr. Strange"
Darcy Lewis,"Darcy Lewis, Darcy"
Dave,"Dave"
Drax,"Drax, Drax the Destroyer"
Dr. Arnim Zola,"Dr. Arnim Zola, Dr Arnim Zola,  Arnim Zola, Zola"
Dr. Helen Cho,"Dr. Helen Cho, Dr Helen Cho"
Dr. List,"Dr. List, Dr List"
Ebony Maw,"Ebony Maw"
Ego,"Ego"
Everett Ross,"Everett Ross, Everett K. Ross"
Falcon,"Falcon, Samuel Thomas Wilson, Sam Wilson, Sam Wilson / Falcon"
Fandral,"Fandral"
Flash Thompson,"Flash Thompson, Flash"
Friday,"Friday, FRIDAY"
Frigga,"Frigga"
Gamora,"Gamora,Young Gamora"
Ghost,"Ghost, Ava / Ghost"
Goose,"Goose, Flerken"
Grandmaster,"Grandmaster"
Groot,"Groot, Baby Groot, Teen Groot"
Happy Hogan,"Happy Hogan, Happy, Hogan"
Harley Keener,"Harley Keener"
Hawkeye,"Hawkeye, Clint Barton, Clint Barton / Hawkeye"
Heimdall,"Heimdall"
Heinz Kruger,"Heinz Kruger"
Hela,"Hela"
Hogun,"Hogun"
Howard Stark,"Howard Stark"
Howard the Duck,"Howard the Duck"
Hulk,"Hulk, The Hulk, The Incredible Hulk, Bruce Banner, Bruce Banner / Hulk, Bruce Banner / The Hulk"
Iron Man,"Iron Man, Tony Stark, Tony Stark / Iron Man"
Iron Monger,"Iron Monger, Obadiah Stane"
Jack Rollins,"Jack Rollins, Agent Rollins"
Jane Foster,"Jane Foster"
Janet Van Dyne,"Janet Van Dyne, Janet Van Dyne / Wasp"
Justin Hammer,"Justin Hammer"
Kaecilius,"Kaecilius"
