Names,"Alignment (Good, Bad, Complicated, Unknown)"
Bambi Arbogast,Good
Thor,Good
Maria Hill,Good
Michelle Jones,Good
Mr. Delmar,Unknown
Ulysses Klaue,Bad
Loki,Complicated
Ultron,Bad
Iron Man,Good
Shuri,Good
Coulson,Good
Star-Lord,Good
Dr. Arnim Zola,Bad
Hela,Bad
Cassie Lang,Good
Heimdall,Good
Quicksilver,Complicated
Hawkeye,Complicated
Janet Van Dyne,Good
Selvig,Complicated
May Parker,Good
Ned,Good
Betty Brant,Good
Laura Barton,Good
Pat Kiernan,Unknown
Sally Avril,Good
T'Chaka,Good
Thanos,Bad
Vulture,Bad
The Winter Soldier,Complicated
Korath,Bad
Groot,Good
Dave,Good
Meredith Quill,Good
Mysterio,Bad
The Collector,Complicated
War Machine,Good
Captain America,Good
Steve Rogers,Good
Jack Rollins,Bad
Mr. Harrington,Good
Vision,Good
Christine Everhart,Good
Nebula,Complicated
Sergeant Duffy,Good
Maggie Lang,Good
Ego,Bad
Luis,Good
Frigga,Good
Yellowjacket,Bad
Mantis,Good
Rocket,Good
Doctor Strange,Good
Darcy Lewis,Good
Killmonger,Bad
Heinz Kruger,Bad
Tyr,Good
Howard Stark,Good
Carina,Complicated
Hulk,Good
Bruce Banner,Good
Mordo,Complicated
Sonny Burch,Bad
Trevor Slattery,Bad
Kraglin,Complicated
Surtur,Bad
Wasp,Good
Goose,Good
Sif,Good
Happy Hogan,Good
Laufey,Bad
Dr. List,Bad
Ebony Maw,Bad
Ghost,Complicated
Major Allen,Good
Abomination,Bad
Falcon,Good
Grandmaster,Bad
Ronan,Bad
Volstagg,Good
Betty Ross,Good
Agent 13,Good
Ant-Man,Good
Jane Foster,Good
Yinsen,Good
Lucian,Bad
Agent Scott Kelly,Unknown
Kurse,Bad
Agent Garrett,Bad
Nick Fury,Good
Maya Hansen,Bad
Spider-Man,Good
Thomas Roberts,Unknown
Fandral,Good
Howard the Duck,Unknown
Dr. Helen Cho,Complicated
Shocker 2,Bad
Yondu,Complicated
Shocker 1,Bad
Crossbones,Bad
Uzman,Bad
Justin Hammer,Bad
Pym,Good
Whiplash,Bad
Corvus Glaive,Bad
Proxima Midnight,Bad
Okoye,Good
Sitwell,Bad
Wong,Good
Korg,Good
Miek,Good
Kurt,Good
Friday,Good
Paxton,Good
The Ancient One,Complicated
The Other,Bad
Abu Bakaar,Bad
Colonel Chester Phillips,Good
Black Widow,Good
Kaecilius,Bad
Cosmo the Space Dog,Good
Cooper Barton,Good
Maria Stark,Good
Peggy Carter,Good
Harley Keener,Good
Strucker,Bad
Malekith,Bad
Valkyrie,Complicated
Flash Thompson,Complicated
Odin,Good
Captain Marvel,Good
Scarlet Witch,Complicated
Taserface,Bad
Everett Ross,Good
Skurge,Complicated
Senator Stern,Bad
Lila Barton,Good
Zemo,Bad
Iron Monger,Bad
Gamora,Complicated
Thaddeus Ross,Bad
Cindy Moon,Good
Black Panther,Good
W'Kabi,Bad
Hogun,Good
M'Baku,Good
Aldrich Killian,Bad
Alexander Pierce,Bad
Pepper Potts,Good
Red Skull,Bad
Nathaniel Pietro Barton,Good
Drax,Good
Cull Obsidian,Bad
IDM,Unknown
Destroyer,Unknown
Fenris,Bad
Dr. Bill Foster,Complicated
Ellen Brandt,Bad
Eric Savin,Bad
Leonard Samson,Complicated
Dr. Samuel Sterns,Bad
Dormammu,Bad
Dr. Christine Palmer,Good
Jonathan Pangborn,Good
Cloak of Levitation,Unknown
Dr. Abraham Erskine,Good
Broker,Unknown
Raza,Bad
Nakia,Good
Stakar Ogord,Good
Daniel Drumm,Good
Eitri,Good
Aaron Davis,Complicated
Mitchell Carson,Bad
Bor,Complicated
Zuri,Good
Georges Batroc,Bad
Jimmy Woo,Good
Agent Stoltz,Bad
Topaz,Bad
Ian Boothby,Good
Maria Rambeau,Good
Minn-Erva,Bad
Att-Lass,Bad
Talos,Good
Mar-Vell,Good
Yon-Rogg,Bad
Bron-Char,Bad
Norex,Good
Supreme Intelligence,Bad
