Name,Publisher
Reed Richards,Marvel
Scott Summers,Marvel
Susan Storm,Marvel
Matthew Murdock,Marvel
Stephen Strange,Marvel
John Jonah Jameson,Marvel
James Buchanan Barnes,Marvel
Loki Laufeyson,Marvel
Brian Braddock,Marvel
Otto Octavius,Marvel
Richard Rider,Marvel
Blackagar Boltagon,Marvel
Greer Grant,Marvel
Peter Parker,Marvel
Curtis Connors,Marvel
Robert Reynolds,Marvel
Michael Morbius,Marvel
Amara Aquilla,Marvel
Carl Creel,Marvel
Gloria Grant,Marvel
Jessica Jones,Marvel
Celeste Cuckoo,Marvel
Sebastian Shaw,Marvel
Harold Hogan,Marvel
Silver Sablinova,Marvel
Beta Ray Bill,Marvel
Samuel Sterns,Marvel
Peter Petruski,Marvel
Robert Ralston,Marvel
Percival Pinkerton,Marvel
Quintavius Quire,Marvel
Marla Madison,Marvel
Randolph Robertson,Marvel
Rocket Raccoon,Marvel
Wyatt Wingfoot,Marvel
Lonnie Lincoln,Marvel
Charlie Cluster-7,Marvel
Samuel Sawyer,Marvel
Mary MacPherran,Marvel
Jason Macendale Jr.,Marvel
Howard Hanover,Marvel
Carlie Cooper,Marvel
Matthew Masters,Marvel
Michiko Musashi,Marvel
Sinthea Shmidt,Marvel
Frederick Foswell,Marvel
Zheng Zu,Marvel
Kara Killgrave,Marvel
Barnell Bohusk,Marvel
Awesome Android,Marvel
Samuel Smithers,Marvel
Boris Bullski,Marvel
Fin Fang Foom,Marvel
Samuel Saxon,Marvel
Toni Turner,Marvel
Max Modell,Marvel
James Braddock Jr.,Marvel
"John Jonah Jameson, Sr.",Marvel
Sir Percy of Scandia,Marvel
Robert Rider,Marvel
Sha Shan,Marvel
Blood Brothers,Marvel
Mamie Muggins,Marvel
Maxwell Markham,Marvel
Alexander Aaron,Marvel
Maki Matsumoto,Marvel
Ahmet Abdol,Marvel
Red Raven,Marvel
Milos Masaryk,Marvel
Richard Rory,Marvel
Andromeda Attumasen,Marvel
Steel Serpent,Marvel
Susan Scarbo,Marvel
Daniel Drumm,Marvel
Penny Pennington,Marvel
Marcy Masterson,Marvel
Bella Donna Boudreaux,Marvel
William Robert Reilly,Marvel
Harold Harold,Marvel
Ava Ayala,Marvel
