first,second
Captain America,10
Iron Man,10
Nick Fury,10
Black Widow,9
Thor,8
War Machine,8
Hulk,8
Vision,7
The Winter Soldier,7
Pepper Potts,7
Happy Hogan,6
Coulson,6
Spider-Man,6
Loki,5
Howard Stark,5
Maria Hill,5
Heimdall,5
Hawkeye,5
Scarlet Witch,5
Falcon,5
Thanos,4
Black Panther,4
Selvig,4
Nebula,4
Ant-Man,4
Groot,4
Rocket,4
Peggy Carter,4
Drax,4
Shuri,3
May Parker,3
Pat Kiernan,3
Volstagg,3
Crossbones,3
Sitwell,3
M'Baku,3
Star-Lord,3
Fandral,3
Ned,3
The Collector,3
Mantis,3
Doctor Strange,3
Wong,3
Friday,3
Odin,3
Ross,3
Hogun,3
Wasp,3
Gamora,3
Dr. Arnim Zola,2
Janet Van Dyne,2
Korath,2
Meredith Quill,2
Sergeant Duffy,2
Maggie Lang,2
Luis,2
Dr. List,2
Yondu,2
Okoye,2
Harley Keener,2
Captain Marvel,2
Cassie Lang,2
Sally Avril,2
T'Chaka,2
Mr. Harrington,2
Frigga,2
Darcy Lewis,2
Sif,2
Ronan,2
Grandmaster,2
Agent 13,2
The Ancient One,2
Flash Thompson,2
Jack Rollins,2
Christine Everhart,2
Major Allen,2
Yinsen,2
Agent Scott Kelly,2
Thomas Roberts,2
Whiplash,2
Paxton,2
Cosmo the Space Dog,2
Strucker,2
Everett Ross,2
Bambi Arbogast,2
Ulysses Klaue,2
Mr. Delmar,2
Quicksilver,2
Betty Brant,2
Dave,2
Carina,2
Jane Foster,2
Howard the Duck,2
Pym,2
Kurt,2
The Other,2
Senator Stern,2
Cindy Moon,2
Red Skull,2
Hela,1
Sel,1
Agent Cale,1
Bereet,1
James Montgomery Falsworth,1
Isabela Alvarez,1
Stakar Ogord,1
Savin,1
Janet Van Dyne / The Wasp,1
General Meade,1
Indra,1
Anitolov,1
Young Ava,1
Jim Morita,1
Ignacio,1
Ghost,1
Mrs. Livingston,1
Charlie XO,1
Megan Henderson,1
Minn-Erva,1
N'Jobu,1
Bonnie,1
Sovereign Admiral,1
Gabriel,1
Lucian,1
Ernesto,1
Ramonda,1
Young Bill,1
Eitri,1
Dean Crimson,1
Uzman,1
Dr. Fitzgibbon,1
Tina Minoru,1
Corvus Glaive,1
Proxima Midnight,1
Brahl,1
Agent Burleigh,1
Korg,1
Connie,1
Dr. Weiss,1
Principal Morita,1
Poliziotto,1
Brandt,1
Kaecilius,1
Tullk,1
Jason,1
Agent Pearson,1
Mac Gargan,1
Eir,1
Malekith,1
USAF Maj. General Saunders,1
Xander,1
Seymour,1
Anton Vanko,1
Norex,1
McGee,1
Cousin Carlo,1
Alexander Pierce,1
Skinny Steve,1
Nathaniel Pietro Barton,1
Chess Roberts,1
Michelle Jones,1
Yon-Rogg,1
Ramirez,1
Griot,1
President Ellis,1
Bron-Char,1
Major Kathleen Sparr,1
Leonard,1
Vulture,1
Sister Ana Maria,1
Laura Barton,1
Georgi Luchkov,1
Aleta Ogord,1
Juan,1
Mysterio,1
Horuz,1
Omar,1
Doris Toomes,1
Wu Jiaqi,1
Agent McGuire,1
Yellowjacket,1
Adam Goldstein,1
Senator Boynton,1
Killmonger,1
Elihas Starr,1
Jack,1
George Kotsiopoulos,1
Nurse Billy,1
Emily,1
Sok,1
Laufey,1
Chad Davis,1
Gale,1
Rebeka,1
Karen / Suit Lady,1
John,1
Stan the Man,1
Costel,1
Kurse,1
Councilman Yen,1
Raza,1
Maya Hansen,1
Catherine Starr,1
Amira Ahmed,1
Shocker 2,1
Shocker 1,1
Bill O'Reilly,1
Tom Corbett,1
Eddie Corbett,1
Larry Ellison,1
Scrote,1
Josh Elliott,1
Colonel Chester Phillips,1
Pvt. Lorraine,1
Bor,1
Jimmy,1
Hannah Rippenger,1
Georgio,1
Navid,1
Taserface,1
Retch,1
Dr. Patel,1
Claire Scrub Nurse,1
Dr. Taryl Jenkins,1
Jan Georgoh,1
Limbani,1
Taggart,1
Aldrich Killian,1
Luis' Abuelita,1
Shran - Ravager,1
Dr. Garrison,1
Ultron,1
Zuri,1
Schneider,1
Madame B,1
Dr. Fine,1
Dr. Bruner,1
Roeder,1
General Joe Greller,1
Dale,1
Pete,1
Topaz,1
Mitchell Carson,1
Martinex,1
Jessica,1
Oblo,1
Ian Boothby,1
Shawna Lynde,1
Huhtar,1
Gabe Jones,1
Bret Johnson,1
General Gabriel,1
Dr. Abraham Erskine,1
Joan Rivers,1
Sol Rama,1
Tyr,1
Mordo,1
Sonny Burch,1
Michael Dorner,1
Hutter,1
Monica Rambeau,1
Surtur,1
UN Staffer Gibson,1
Captain Anders,1
James / Young Zuri,1
Alex Matthews,1
Ebony Maw,1
Manager Velt,1
Dr. Christine Palmer,1
Mrs. Davis,1
Frost Giant Grundroth,1
Jimmy Woo,1
Pegasus Guard Ficke,1
Tom the Neighbor,1
Cashier - Darby,1
Agent Garrett,1
Gary the Cameraman,1
Moloka Dar,1
Dr. Helen Cho,1
Stanley,1
Daniel Drumm,1
Justin Hammer,1
Jim Cramer,1
Gef,1
Agent Danbury,1
Georges Batroc,1
Castillo,1
Steve Danvers,1
Hero Torfan,1
Agent Delancey,1
Abu Bakaar,1
William Ginter Riva,1
Riley,1
Maria Stark,1
Martina,1
Charlie-27,1
Anne Marie Hoag,1
Timothy 'Dum Dum' Dugan,1
Nakia,1
Maddie,1
Abe,1
Sadhu,1
Valkyrie,1
Carlos,1
Karpov,1
Thomas Richards,1
Steve Scott,1
Skurge,1
E.J.,1
W'Kabi,1
Whale Boat Captain Daniel Gooobler,1
Charles,1
Grandpa Quill,1
Evan Russell,1
Colonel Craig,1
Phineas Mason / The Tinkerer,1
Halfnut,1
Miriam,1
Pratt,1
Agent Stoltz,1
Randy,1
Jonathan Pangborn,1
Maria Rambeau,1
Ahmed,1
Jan,1
Elon Musk,1
Detective Lemieux,1
Jenson,1
Doctor Wu,1
Officer Green,1
Renata,1
Ego,1
Narblik,1
Peachy,1
Ped,1
Richard,1
Heinz Kruger,1
Trevor Slattery,1
Kraglin,1
Soren,1
Goose,1
Agent Foster,1
Agent Jackson,1
Hamir,1
Daisy Kiu,1
Abomination,1
Dr. Bill Foster,1
Zrinka,1
Garcia,1
Heather,1
