Character,Titles,Codes
Abomination,"The Incredible Hulk", c
Agent 13,"Captain America: The Winter Soldier, Captain America: Civil War", in
Aldrich Killian,"Iron Man 3", g
Alexander Pierce,"Captain America: The Winter Soldier", i
Ant-Man,"Ant-Man, Captain America: Civil War, Ant-Man and the Wasp, Avengers: Endgame", mntv
Betty Ross,"The Incredible Hulk", c
Black Panther,"Captain America: Civil War, Black Panther, Avengers: Infinity War, Avengers: Endgame", nosv
Black Widow,"Iron Man 2, The Avengers, Captain America: The Winter Soldier, Avengers: Age of Ultron, Captain America: Civil War, Thor: Ragnarok, Avengers: Infinity War, Captain Marvel, Avengers: Endgame", bfilnrsuv
Captain America,"Captain America: The First Avenger, The Avengers, Captain America: The Winter Soldier, Avengers: Age of Ultron, Ant-Man, Captain America: Civil War, Spider-Man: Homecoming, Avengers: Infinity War, Captain Marvel, Avengers: Endgame", efilmnpsuv
Captain Marvel,"Captain Marvel, Avengers: Endgame", uv
Carina,"Thor: The Dark World, Guardians of the Galaxy", hj
Christine Everhart,"Iron Man, Iron Man 2", ab
Coulson,"Iron Man, Iron Man 2, The Incredible Hulk, Thor, The Avengers, Captain Marvel", abcdfu
Crossbones,"Captain America: The Winter Soldier, Captain America: Civil War, Avengers: Endgame", inv
Darcy Lewis,"Thor, Thor: The Dark World", dh
Doctor Strange,"Doctor Strange, Thor: Ragnarok, Avengers: Infinity War", qrs
Dr. Arnim Zola,"Captain America: The First Avenger, Captain America: The Winter Soldier", ei
Dr. Helen Cho,"Avengers: Age of Ultron", l
Drax,"Guardians of the Galaxy, Guardians of the Galaxy Vol. 2, Avengers: Infinity War, Avengers: Endgame", jksv
Ego,"Guardians of the Galaxy Vol. 2", k
Everett Ross,"Captain America: Civil War, Black Panther", no
Falcon,"Captain America: The Winter Soldier, Avengers: Age of Ultron, Ant-Man, Captain America: Civil War, Avengers: Infinity War", ilmns
Fandral,"Thor, Thor: The Dark World, Thor: Ragnarok", dhr
Flash Thompson,"Spider-Man: Far From Home", w
Frigga,"Thor, Thor: The Dark World", dh
Gamora,"Guardians of the Galaxy, Guardians of the Galaxy Vol. 2, Avengers: Infinity War", jks
Ghost,"Ant-Man and the Wasp", t
Grandmaster,"Guardians of the Galaxy Vol. 2, Thor: Ragnarok", kr
Groot,"Guardians of the Galaxy, Guardians of the Galaxy Vol. 2, Avengers: Infinity War, Avengers: Endgame", jksv
Happy Hogan,"Iron Man, Iron Man 2, Iron Man 3, Spider-Man: Homecoming, Avengers: Endgame, Spider-Man: Far From Home", abgpvw
Hawkeye,"Thor, The Avengers, Avengers: Age of Ultron, Captain America: Civil War, Avengers: Endgame", dflnv
Heimdall,"Thor, Thor: The Dark World, Avengers: Age of Ultron, Thor: Ragnarok, Avengers: Infinity War", dhlrs
Hela,"Thor: Ragnarok", r
Hogun,"Thor, Thor: The Dark World, Thor: Ragnarok", dhr
Howard Stark,"Iron Man, Iron Man 2, Captain America: The First Avenger, Ant-Man, Captain America: Civil War", abemn
