Group,%
Hydra,8.9
Ultron's,8.9
Chitauri,6.6
Soldier,4.7
Guard,3.9
SHIELD,3.6
Asgardian,3.4
Police,3.4
Zealot,3.4
Criminal,3.4
Undead,3.3
Outrider,3.2
Kree,3.1
Mercenary,3
Frost Giant,2.8
Ten Rings,2.5
Ravager,2.3
Hammer Drone,1.9
Dora Milaje,1.8
Marauder,1.6
Klaue's,1.6
Dark Elf,1.5
Sovereign,1.4
Kyln Guard,1.3
Extremis,1.3
Grandmaster,1.3
W'Kabi,1.3
Iron Man,1.2
Loki's,1
Random,0.9
Muspel,0.9
Bucky's,0.8
Mandarin,0.8
Kyln Drone,0.7
Bullet Ant,0.7
Nova Corp,0.6
Prisoner,0.6
Fake Police,0.6
Cannery,0.5
US,0.4
Scientist,0.4
Secret Service,0.4
FBI,0.4
Orlonan,0.3
Winter Soldier,0.3
Scrapper,0.3
Mugger,0.2
Monk,0.2
Jabari,0.2
Security Guard,0.1
Crazy Ant,0.1
Unnamed,0.1
Gladiator,0.1
Good Old,0.1
Museum,0.1
Orderly,0.1
Sewing,0.1
Corporate,0.1
Teacher,0.1
CIA,0.1
Car Thief,0.1
DODC,0.1
Obadiah's,0.1
Librarian,0.1
Cycle Thief,0.1
Museum worker,0.1
Maintenance,0.1
Martial Arts,0.1
Ant,0.1
Truck-driver,0.1
Valkyrie,0.1
Crowd,0.1
Nazi,0.1
Museum guard,0.1
