# https://medium.com/@leftoutside/every-discworld-novel-ranked-definitively-by-me-dc0578b9eb1,2018
Ranking,Title
1,Small Gods
2,Men at Arms
3,Reaper Man
4,Wyrd Sisters
5,Guards! Guards!
6,Mort
7,Night Watch
8,Carpe Jugulum
9,Witches Abroad
10,The Truth
11,Going Postal
12,Moving Pictures
13,Lords and Ladies
14,The Colour of Magic
15,Equal Rites
16,Sourcery
17,Monstrous Regiment
18,Thief of Time
19,Jingo
20,The Fifth Elephant
21,Soul Music
22,Maskerade
23,Hogfather
24,Pyramids
25,Feet of Clay
26,Interesting Times
27,Snuff
28,Raising Steam
29,The Last Hero
30,The Wee Free Men
31,Making Money
32,Thud!
33,The Light Fantastic
34,The Last Continent
35,The Amazing Maurice and his Educated Rodents
36,I Shall Wear Midnight
37,The Shepherd's Crown
38,Unseen Academicals
39,A Hat Full of Sky
40,Wintersmith
41,Eric
