# https://www.buzzfeed.com/tomchivers/the-definitive-listing-of-terry-pratchetts-discworld-novels, 2015
Ranking,Title
30,Monstrous Regiment
29,Carpe Jugulum
28,Thud!
27,Sourcery
26,Night Watch
25,Eric
24,Thief of Time
23,Soul Music
22,Hogfather
21,The Fifth Elephant
20,The Truth
19,Moving Pictures
18,The Colour of Magic
17,The Light Fantastic
16,Equal Rites
15,Jingo
14,Going Postal
13,Witches Abroad
12,The Last Continent
11,Maskerade
10,Lords and Ladies
9,Mort
8,Interesting Times
7,Feet of Clay
6,Guards! Guards!
5,Men at Arms
4,Wyrd Sisters
3,Pyramids
2,Reaper Man
1,Small Gods
