# https://culturedvultures.com/ranking-discworld-books-20-1/,2017
# https://culturedvultures.com/ranking-discworld-books/
Ranking,Title
41,Pyramids
40,Sourcery
39,Interesting Times
38,The Last Continent
37,Soul Music
36,The Light Fantastic
35,The Colour of Magic
34,Unseen Academicals
33,The Amazing Maurice and his Educated Rodents
32,Snuff
31,Eric
30,Hogfather
29,Reaper Man
28,Moving Pictures
27,Raising Steam
26,Equal Rites
25,Jingo
24,Mort
23,Making Money
22,The Fifth Elephant
21,Thief of Time
20,Feet of Clay
19,Small Gods
18,I Shall Wear Midnight
17,Maskerade
16,Wyrd Sisters
15,Carpe Jugulum
14,Lords and Ladies
13,The Last Hero
12,Wintersmith
11,The Wee Free Men
10,Thud!
9,Guards! Guards!
8,The Shepherd's Crown
7,Going Postal
6,Men at Arms
5,Witches Abroad
4,A Hat Full of Sky
3,Monstrous Regiment
2,The Truth
1,Night Watch
