# https://www.goodreads.com/list/show/120.The_Best_of_Discworld,2020
Ranking,Title
1,Night Watch
2,Going Postal
3,Guards! Guards!
4,Small Gods
5,Mort
6,Hogfather
7,Reaper Man
8,Wyrd Sisters
9,Men at Arms
10,Witches Abroad
11,Thud!
12,Monstrous Regiment
13,The Wee Free Men
14,Feet of Clay
15,Thief of Time
16,The Truth
17,The Fifth Elephant
18,A Hat Full of Sky
19,Making Money
20,The Colour of Magic
21,Equal Rites
22,Lords and Ladies
23,Carpe Jugulum
24,Wintersmith
25,Jingo
26,Soul Music
27,Pyramids
28,The Amazing Maurice and his Educated Rodents
29,Maskerade
30,The Light Fantastic
31,Sourcery
32,I Shall Wear Midnight
33,The Last Continent
34,Unseen Academicals
35,Moving Pictures
36,The Last Hero
# 37,Interesting Times: The Play
38,Snuff
39,Eric
40,Interesting Times
41,Raising Steam
# 42,Where's My Cow?
# 43,The First Discworld Novels: The Colour of Magic and the Light Fantastic
# 44,The Science of Discworld
45,The Shepherd's Crown
