# https://pratchettjob.wordpress.com/2015/07/31/rating-the-discworld-part-one/,2015
Ranking,Title
40,Unseen Academicals
39,Sourcery
38,The Last Continent
37,Snuff
36,Soul Music
35,Raising Steam
34,Thud!
33,Making Money
32,Interesting Times
31,Eric
30,Monstrous Regiment
29,I Shall Wear Midnight
28,A Hat Full of Sky
27,The Wee Free Men
26,The Light Fantastic
25,The Colour of Magic
24,Mort
23,Equal Rites
22,Carpe Jugulum
21,Wintersmith
20,Reaper Man
19,The Amazing Maurice and his Educated Rodents
18,Jingo
17,Hogfather
16,Moving Pictures
15,The Truth
14,Witches Abroad
13,Guards! Guards!
12,Wyrd Sisters
11,Men at Arms
10,Going Postal
9,The Last Hero
8,The Fifth Elephant
7,Pyramids
6,Small Gods
5,Lords and Ladies
4,Maskerade
3,Feet of Clay
2,Night Watch
1,Thief of Time
