# http://forum.discworldemporium.com/viewtopic.php?f=13&t=14587 (stu d'apples),2005
Ranking,Title
1,Reaper Man
2,Lords and Ladies
3,Feet of Clay
4,Jingo
5,Night Watch
6,Interesting Times
7,Thief of Time
8,Small Gods
9,Witches Abroad
10,Wyrd Sisters
11,Maskerade
12,The Amazing Maurice and his Educated Rodents
13,Men at Arms
14,Guards! Guards!
15,Carpe Jugulum
16,Hogfather
17,Pyramids
18,Wyrd Sisters
19,Witches Abroad
20,Soul Music
21,Mort
22,The Fifth Elephant
23,The Wee Free Men
24,The Truth
25,Moving Pictures
26,A Hat Full of Sky
27,Monstrous Regiment
28,Going Postal
29,Wintersmith
30,The Last Continent
31,Sourcery
32,Thud!
33,Equal Rites
34,Eric
35,Unseen Academicals
36,The Colour of Magic
37,The Light Fantastic
38,The Last Hero
39,Making Money
