Title,ID,GoodReadsTitle,Year,Pages,Rating,RatingsCount,RatingsDist,ISBN,Publisher,URL,IMAGE_URL,SM_IMAGE_URL,Description
The Colour of Magic,601238,"The Colour of Magic (Discworld, #1)",1983,285,3.99,20416,5:115143|4:111666|3:67676|2:16399|1:6405|total:317289,9780552124751,Corgi,https://www.goodreads.com/book/show/601238.The_Colour_of_Magic,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365691644l/601238._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365691644l/601238._SY75_.jpg,"<i>Alternate Cover Edition can be found <a href=""https://www.goodreads.com/book/show/27254094-the-colour-of-magic"" rel=""nofollow noopener"">here</a>. </i><br /><br />On a world supported on the back of a giant turtle (sex unknown), a gleeful, explosive, wickedly eccentric expedition sets out. There's an avaricious but inept wizard, a naive tourist whose luggage moves on hundreds of dear little legs, dragons who only exist if you believe in them, and of course THE EDGE on the planet..."
The Light Fantastic,34506,"The Light Fantastic (Discworld, #2; Rincewind #2)",1986,277,3.97,101442,5:38681|4:50380|3:28878|2:5278|1:1167|total:124384,9780061020704,HarperTorch,https://www.goodreads.com/book/show/34506.The_Light_Fantastic,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"In <i>The Light Fantastic</i> only one individual can save the world from a disastrous collision. Unfortunately, the hero happens to be the singularly inept wizard Rincewind, who was last seen falling off the edge of the world..."
Equal Rites,34507,"Equal Rites (Discworld, #3; Witches, #1)",1987,228,4.02,121353,5:49785|4:57079|3:30990|2:5120|1:1804|total:144778,9780060855901,Harper Perennial,https://www.goodreads.com/book/show/34507.Equal_Rites,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407706800l/34507._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407706800l/34507._SY75_.jpg,"On Discworld, a dying wizard tries to pass on his powers to an eighth son of an eighth son, who is just at that moment being born. The fact that the son is actually a daughter is discovered just a little too late. The town witch insists on turning the baby into a perfectly normal witch, thus mending the magical damage of the wizard's mistake. But now the young girl will be forced to penetrate the inner sanctum of the Unseen University--and attempt to save the world with one well-placed kick in some enchanted shins! Reissue."
Mort,386372,"Mort (Discworld, #4; Death, #1)",1987,243,4.22,173808,5:87074|4:75068|3:28726|2:4239|1:1995|total:197102,9780061020681,Harpertorch,https://www.goodreads.com/book/show/386372.Mort,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"Terry Pratchett's profoundly irreverent novels are consistent number one bestseller in England, where they have catapulted him into the highest echelons of parody next to Mark Twain, Kurt Vonnegut, Douglas Adams, and Carl Hiaasen.<br /><br />In this Discworld installment, Death comes to Mort with an offer he can't refuse -- especially since being, well, dead isn't compulsory. As Death's apprentice, he'll have free board and lodging, use of the company horse, and he won't need time off for family funerals. The position is everything Mort thought he'd ever wanted, until he discovers that this perfect job can be a killer on his love life."
Sourcery,34499,"Sourcery (Discworld, #5; Rincewind #3)",1988,276,3.89,66716,5:22490|4:32457|3:22273|2:3650|1:741|total:81611,9780061020674,Harper,https://www.goodreads.com/book/show/34499.Sourcery,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"When last seen, the singularly inept wizard Rincewind had fallen off the edge of the world. Now magically, he's turned up again, and this time he's brought the Luggage.<br /><br />But that's not all....<br /><br />Once upon a time, there was an eighth son of an eighth son who was, of course, a wizard. As if that wasn't complicated enough, said wizard then had seven sons. And then he had an eighth son -- a wizard squared (that's all the math, really). Who of course, was a source of magic -- a sourcerer."
Wyrd Sisters,34504,"Wyrd Sisters (Discworld, #6; Witches #2)",1988,265,4.12,78772,5:36277|4:37020|3:17638|2:2630|1:712|total:94277,9780061020667,Hartorch,https://www.goodreads.com/book/show/34504.Wyrd_Sisters,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1275974472l/34504._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1275974472l/34504._SY75_.jpg,"Kingdoms wobble, crowns topple and knives flash on the magical Discworld as the statutory three witches meddle in royal politics. The wyrd sisters battle against frightful odds to put the rightful king on the throne. At least, that's what they think..."
Pyramids,64217,"Pyramids (Discworld, #7)",1989,341,3.9,59891,5:20961|4:27654|3:18712|2:3464|1:783|total:71574,9780061020650,Harper,https://www.goodreads.com/book/show/64217.Pyramids,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"It's bad enough being new on the job, but Teppic hasn't a clue as to what a pharaoh is supposed to do. After all, he's been trained at Ankh-Morpork's famed assassins' school, across the sea from the Kingdom of the Sun. First, there's the monumental task of building a suitable resting place for Dad -- a pyramid to end all pyramids. Then there are the myriad administrative duties, such as dealing with mad priests, sacred crocodiles, and marching mummies. And to top it all off, the adolescent pharaoh discovers deceit, betrayal - not to mention a headstrong handmaiden - at the heart of his realm."
Guards! Guards!,64216,"Guards! Guards! (Discworld, #8; City Watch #1)",1989,376,4.31,147391,5:83160|4:58296|3:19570|2:3092|1:1954|total:166072,9780061020643,HarperTorch,https://www.goodreads.com/book/show/64216.Guards_Guards_,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431127356l/64216._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431127356l/64216._SY75_.jpg,"This is where the dragons went. They lie ... not dead, not asleep, but ... dormant. And although the space they occupy isn't like normal space, nevertheless they are packed in tightly. They could put you in mind of a can of sardines, if you thought sardines were huge and scaly. And presumably, somewhere, there's a key...<br /><br />GUARDS! GUARDS! is the eighth Discworld novel - and after this, dragons will never be the same again!"
Eric,64218,"Eric (Discworld, #9; Rincewind #4)",1990,197,3.75,50549,5:14827|4:21894|3:19278|2:4223|1:789|total:61011,9780380821211,Harper,https://www.goodreads.com/book/show/64218.Eric,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377865202l/64218._SY160_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377865202l/64218._SY75_.jpg,"Discworld's only demonology hacker, Eric, is about to make life very difficult for the rest of Ankh-Morpork's denizens. This would-be Faust is very bad...at his work, that is. All he wants is to fulfill three little wishes:to live forever, to be master of the universe, and to have a stylin' hot babe.<br /><br />But Eric isn't even good at getting his own way. Instead of a powerful demon, he conjures, well, Rincewind, a wizard whose incompetence is matched only by Eric's. And as if that wasn't bad enough, that lovable travel accessory the Luggage has arrived, too. Accompanied by his best friends, there's only one thing Eric wishes now -- that he'd never been born!"
Moving Pictures,34510,"Moving Pictures (Discworld, #10; Industrial Revolution, #1)",1990,396,3.93,57530,5:21513|4:25701|3:16959|2:3325|1:856|total:68354,9780552152945,Corgi,https://www.goodreads.com/book/show/34510.Moving_Pictures,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320456553l/34510._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320456553l/34510._SY75_.jpg,"<i>'Holy wood is a different sort of place. People act differently here. Everywhere else the most important things are gods or money or cattle. Here, the most important thing is to be important.'</i><br /><br /><i></i><br />People might say that reality is a quality that things possess in the same way that they possess weight. Sadly alchemists never really held with such a quaint notion. They think that they can change reality, shape it to their own purpose. Imagine then the damage that could be wrought if they get their hands on the ultimate alchemy: the invention of motion pictures, the greatest making of illusions. It may be a triumph of universe-shaking proportions. It's either that or they're about to unlock the dark terrible secret of the Holy Wood hills - by mistake..."
Reaper Man,34517,"Reaper Man (Discworld, #11; Death, #2)",1991,352,4.26,68199,5:39087|4:30774|3:11786|2:1719|1:549|total:83915,9780552152952,Corgi,https://www.goodreads.com/book/show/34517.Reaper_Man,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389211958l/34517._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389211958l/34517._SY75_.jpg,"<i>'Death has to happen. That's what bein' alive is all about. You're alive, and then you're dead. It can't just stop happening.'</i><br /><br />But it can. And it has. So what happens after death is now less of a philosophical question than a question of actual reality. On the Disc, as here, they need Death. If Death doesn't come for you, then what are you supposed to do in the meantime? You can't have the undead wandering about like lost souls. There's no telling what might happen, particularly when they discover that life really is only for the living..."
Witches Abroad,2442,"Witches Abroad (Discworld, #12; Witches #3)",1991,374,4.21,63146,5:32693|4:27183|3:11907|2:1807|1:631|total:74221,9780061020612,HarperTorch,https://www.goodreads.com/book/show/2442.Witches_Abroad,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403326937l/2442._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403326937l/2442._SY75_.jpg,"Be careful what you wish for...<br /><br />Once upon a time there was a fairy godmother named Desiderata who had a good heart, a wise head, and poor planning skills—which unfortunately left the Princess Emberella in the care of her <em>other</em> (not quite so good and wise) godmother when DEATH came for Desiderata. So now it's up to Magrat Garlick, Granny Weatherwax, and Nanny Ogg to hop on broomsticks and make for far-distant Genua to ensure the servant girl <em>doesn't</em> marry the Prince.<br /><br />But the road to Genua is bumpy, and along the way the trio of witches encounters the occasional vampire, werewolf, and falling house (well this is a <em>fairy tale</em>, after all). The trouble really begins once these reluctant foster-godmothers arrive in Genua and must outwit their power-hungry counterpart who'll stop at nothing to achieve a proper ""happy ending""—even if it means destroying a kingdom."
Small Gods,34484,"Small Gods (Discworld, #13)",1992,400,4.3,85881,5:48701|4:34429|3:13980|2:1927|1:379|total:99416,9780552152976,Corgi,https://www.goodreads.com/book/show/34484.Small_Gods,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"Just because you can't explain it, doesn't mean it's a miracle.' Religion is a controversial business in the Discworld. Everyone has their own opinion, and indeed their own gods. Who come in all shapes and sizes. In such a competitive environment, there is a pressing need to make one's presence felt. And it's certainly not remotely helpful to be reduced to be appearing in the form of a tortoise, a manifestation far below god-like status in anyone's book. In such instances, you need an acolyte, and fast. Preferably one who won't ask too many questions..."
Lords and Ladies,34529,"Lords and Ladies (Discworld, #14; Witches #4)",1992,400,4.16,58083,5:27903|4:26286|3:11997|2:1672|1:629|total:68487,9780552153157,Corgi,https://www.goodreads.com/book/show/34529.Lords_and_Ladies,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1469186110l/34529._SX98_.jpg,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1469186110l/34529._SY75_.jpg,"A Discworld Novel. It's a hot Midsummer Night. The crop circles are turning up everywhere-even on the mustard-and-cress of Pewseyy Ogg, aged four. And Magrat Garlick, witch, is going to be married in the morning...Everything ought to be going like a dream. But the Lancre All-Comers Morris Team have got drunk on a fairy mound and the elves have come back, bringing all those things traditionally associated with the magical, glittering realm of Faerie: cruelty, kidnapping, malice and evil, evil murder.* Granny Weatherwax and her tiny argumentative coven have really got their work cut out this time...With full supporting cast of dwarfs, wizards, trolls, Morris Dancers and one orang-utan. And lots. of hey-nonny-nonny and blood all over the place.<br /><br />*But with tons of style."
Men at Arms,400354,"Men at Arms (Discworld, #15; City Watch #2)",1993,377,4.36,71044,5:42966|4:30155|3:9008|2:987|1:638|total:83754,9780061092190,HarperPrism,https://www.goodreads.com/book/show/400354.Men_at_Arms,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"<i>'What's so hard about pulling a sword out of a stone? The real work's already been done. You ought to make yourself useful and find the man who put the sword in the stone in the first place.'</i><br /><br />The City Watch needs MEN! But what it's got includes Corporal Carrot (technically a dwarf), Lance-constable Cuddy (really a dwarf), Lance-constable Detritus (a troll), Lance-constable Angua (a woman... most of the time) and Corporal Nobbs (disqualified from the human race for shoving).<br /><br />And they need all the help they can get, because someone in Ankh-Morpork has been getting dangerous ideas - about crowns and legendary swords, and destiny. And the problem with destiny is, of course, that she is not always careful where she points her finger. One minute you might be minding your own business on a normal if not spectacular career path, the next you might be in the frame for the big job, like saving the world..."
Soul Music,34502,"Soul Music (Discworld, #16; Death, #3)",1994,424,4.02,56217,5:23574|4:25743|3:14840|2:2610|1:621|total:67388,9780575066892,Gollancz,https://www.goodreads.com/book/show/34502.Soul_Music,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,"Other children get given xylophones. Susan just had to ask her grandfather to take his vest off. <br />Yes. There's a Death in the family.<br /><br />It's hard to grow up normally when Grandfather rides a white horse and wields a scythe – especially when you have to take over the family business, and everyone mistakes you for the Tooth Fairy.<br /><br />And <b>especially</b> when you have to face the new and addictive music that has entered Discworld.<br /><br />It's lawless. It changes people.<br /><br />It's called <b>Music With Rocks In</b>.<br /><br />It's got a beat and you can dance to it, but...<br /><br />It's <b>alive</b>.<br /><br />And it won't fade away."
