X (miles),Y (miles)
-1377.3520601322123,-4082.482957796975
-1377.3520601322123,-4082.482957796975
-1377.3520601322123,-4082.482957796975
-1391.6692349323068,-4092.394728551926
-1391.6692349323068,-4102.306499306877
-1379.5543738081644,-4124.333131185971
-1375.149358109641,-4136.447603963496
-1375.149358109641,-4136.447603963496
-1375.149358109641,-4136.447603963496
-1354.2240772418322,-4149.663427752304
-1354.2240772418322,-4149.663427752304
-1354.2240772418322,-4149.663427752304
-1329.9951316867853,-4186.007234431493
-1311.2725528415476,-4206.932515299302
-1313.4744781708814,-4215.742935042969
-1323.3862489258333,-4219.0477647700645
-1315.6771801934526,-4242.175359313826
-1309.0690741257388,-4254.290220437969
-1293.6505483143585,-4263.100640181637
-1293.6505483143585,-4263.100640181637
-1293.6505483143585,-4263.100640181637
-1278.232022502978,-4274.113761947874
-1278.232022502978,-4274.113761947874
-1278.232022502978,-4274.113761947874
-1265.016198714169,-4289.532287759253
-1270.5225654239782,-4302.748499894682
-1268.3206400946447,-4311.558919638349
-1273.827006804454,-4320.369727728635
-1279.3337618608823,-4344.598284937063
-1280.436666258644,-4353.409093027348
-1280.436666258644,-4353.409093027348
-1280.436666258644,-4353.409093027348
-1262.8154384246923,-4351.207167698015
-1262.8154384246923,-4351.207167698015
-1262.8154384246923,-4351.207167698015
-1239.6874555343122,-4335.789418579872
-1239.6874555343122,-4335.789418579872
-1239.6874555343122,-4335.789418579872
-1214.3571589679798,-4313.762786700779
-1222.0662277003605,-4329.181700858778
-1226.4716317455031,-4342.397524647587
-1195.6345801227424,-4339.092694920491
-1195.6345801227424,-4339.092694920491
-1195.6345801227424,-4339.092694920491
-1183.520107345219,-4346.801763652872
-1183.520107345219,-4346.801763652872
-1183.520107345219,-4346.801763652872
-1171.4056345676959,-4347.904668050632
-1161.493475466125,-4331.384402881346
-1147.1763006660303,-4339.093859960345
-1147.1763006660303,-4339.093859960345
-1147.1763006660303,-4339.093859960345
-1135.0618278885072,-4341.295785289677
-1135.0618278885072,-4341.295785289677
-1135.0618278885072,-4341.295785289677
-1126.2514081448405,-4325.877259478299
-1126.2514081448405,-4325.877259478299
-1126.2514081448405,-4325.877259478299
-1105.3261272770317,-4326.980163876058
-1105.3261272770317,-4326.980163876058
-1105.3261272770317,-4326.980163876058
-1085.5021974205088,-4337.992897295676
-1079.9958307106995,-4336.889992897916
-1079.9958307106995,-4336.889992897916
-1079.9958307106995,-4336.889992897916
-1086.6035484317947,-4324.7759084670115
-1086.6035484317947,-4324.7759084670115
-1086.6035484317947,-4324.7759084670115
-1089.9083781588895,-4308.256031644346
-1089.9083781588895,-4308.256031644346
-1089.9083781588895,-4308.256031644346
